Account Number,Birthday,Gender,Ethnicity,Zip Code,Veteran,Disabled,Refugee
3465,2013,Female,W,83712,FALSE,FALSE,FALSE
3467,1993,Male,W,83705,FALSE,FALSE,FALSE
3468,1984,Female,W,83703,FALSE,FALSE,FALSE
3469,1967,Male,W,83703,FALSE,FALSE,FALSE
3470,1993,Female,A,83705,FALSE,FALSE,FALSE
3470,1982,Male,A,83705,FALSE,FALSE,FALSE
3470,1974,Female,A,83705,FALSE,FALSE,FALSE
3470,2014,Male,A,83705,FALSE,FALSE,FALSE
3471,1980,Male,H,83704,FALSE,FALSE,FALSE
3471,1981,Female,H,83704,FALSE,FALSE,FALSE
3471,1964,Female,H,83704,FALSE,FALSE,FALSE
3471,2016,Female,H,83704,FALSE,FALSE,FALSE
3471,2005,Female,H,83704,FALSE,FALSE,FALSE
3472,1975,Female,H,83704,FALSE,FALSE,FALSE
3472,1971,Male,H,83704,FALSE,FALSE,FALSE
3472,1997,Male,H,83704,FALSE,FALSE,FALSE
3472,2000,Male,H,83704,FALSE,FALSE,FALSE
3472,2002,Male,H,83704,FALSE,FALSE,FALSE
3473,1961,Female,W,83702,FALSE,FALSE,FALSE
3474,1985,Male,W,83702,FALSE,FALSE,FALSE
3475,1988,Female,W,83702,FALSE,FALSE,FALSE
3475,1985,Male,W,83702,TRUE,FALSE,FALSE
3475,2012,Female,W,83702,FALSE,FALSE,FALSE
3476,1955,Female,W,83716,FALSE,FALSE,FALSE
3476,1999,Female,A,83716,FALSE,FALSE,FALSE
3477,1974,Female,A,83706,FALSE,FALSE,FALSE
3477,1997,Female,A,83706,FALSE,FALSE,FALSE
3477,2003,Male,A,83706,FALSE,FALSE,FALSE
3477,2010,Female,A,83706,FALSE,FALSE,FALSE
3477,2001,Male,A,83706,FALSE,FALSE,FALSE
3477,1973,Male,A,83706,FALSE,FALSE,FALSE
3478,1993,Female,W,83704,FALSE,FALSE,FALSE
3478,1985,Male,W,83704,FALSE,FALSE,FALSE
3479,1953,Female,W,83705,FALSE,FALSE,FALSE
3479,1996,Female,W,83705,FALSE,FALSE,FALSE
3480,1963,Female,W,83709,FALSE,TRUE,FALSE
3481,1988,Female,W,83714,FALSE,FALSE,FALSE
3481,1988,Male,W,83714,FALSE,TRUE,FALSE
3481,2013,Male,W,83714,FALSE,FALSE,FALSE
3482,1982,Male,W,83702,FALSE,FALSE,FALSE
3483,1953,Male,W,83709,TRUE,TRUE,FALSE
3484,1977,Male,OM,83704,FALSE,FALSE,FALSE
3485,1991,Male,W,83705,FALSE,FALSE,FALSE
3485,1993,Male,W,83705,FALSE,FALSE,FALSE
3486,1963,Male,W,83702,FALSE,FALSE,FALSE
3487,1994,Male,W,83709,FALSE,FALSE,FALSE
3488,1990,Unknown,W,83709,FALSE,FALSE,FALSE
3488,2001,Declined to Say,NA,83709,FALSE,FALSE,FALSE
3489,1990,Female,W,83704,FALSE,FALSE,FALSE
3490,1961,Male,NA,83704,FALSE,TRUE,FALSE
